food_name,protein,carbs,fat,calories
gingerbread,2.9,36.4,12.1,263
peanut brittle,2.1,20.2,5.4,138
butterscotch,0.079,4.8,0.2,21
chocolate coffee beans,2.1,15.6,9.4,155
peanut butter fudge,0.6,12.4,1.1,62
sugar coated almonds,0.4,2.4,0.6,17
chocolate coated marshmallow,1.1,19.0,4.7,118
raisins chocolate coated,4.1,68.4,14.8,390
chocolate syrup,0.8,25.4,0.4,109
chocolate fudge syrup,0.9,12.0,1.7,67
m ms milk chocolate mars,1.8,29.9,8.9,207
chocolate fudge,0.4,13.0,1.8,70
m ms peanut chocolate mars,1.7,10.9,4.7,93
dark chocolate,1.5,18.0,9.7,165
chocolate semisweet,7.1,107.4,50.4,806
milk chocolate,0.5,4.2,2.1,37
white chocolate,1.8,17.8,9.6,162
chocolate,1.6,24.8,14.0,208
milky way mars,2.3,41.3,10.0,264
jellybeans,0.0,1.0,0.043,4
wheat germ toasted,8.7,14.9,3.2,115
crispy brown rice,2.3,27.5,1.1,124
rice bran,15.8,58.6,24.6,373
chaptti roti indian bread,7.0,0.089,2.5,491
millet puffed,2.7,16.8,0.7,74
popcorn oil popped,0.8,5.0,4.8,64
wheat bran,9.0,37.4,2.5,125
popcorn air popped,1.0,6.2,0.4,31
millet raw,22.0,145.7,8.4,756
popcorn unpopped,3.1,20.9,1.2,106
wheat sprouted,8.1,45.9,1.4,214
whole wheat dry,3.1,21.1,0.6,96
caramel popcorn,1.1,22.4,3.6,122
wheat puffed,1.8,9.6,0.1,44
wheat germ,7.2,16.1,3.0,112
microwave popcorn,7.3,49.8,26.3,465
wheat durum,26.3,136.6,4.7,651
white wheat,21.7,145.7,3.3,657
buckwheat raw,1.6,8.6,0.4,41
oats,1.7,6.6,0.7,39
quinoa dry,8.5,38.5,3.6,221
wheat shredded,5.2,36.2,1.0,155
brown rice raw,14.7,142.9,5.4,685
wild rice raw,23.6,119.8,1.7,571
rice crisps,1.8,24.1,0.4,107
rice pilaf raw,21.3,155.7,2.8,732
brown rice cake,0.7,7.3,0.3,35
glutinous white rice raw,12.6,151.1,1.0,685
white rice pasta raw,15.3,122.8,4.0,600
white rice raw,13.2,147.9,1.2,675
prickly pear raw,0.001,1.9,0.072,8
pineapple,0.5,11.8,0.1,45
muscadine grapes,0.014,0.8,0.056,3
banana,1.6,34.3,0.5,134
orange,1.7,21.6,0.2,86
american grapes,0.035,0.4,0.087,2
peach,1.4,14.3,0.4,59
asian pear,0.6,13.0,0.3,51
grapefruit,1.0,13.3,0.2,53
japanese persimmon,1.0,31.2,0.3,118
pink lady apple,0.1,3.9,0.1,18
crab apple,0.4,21.9,0.3,84
apple,0.5,25.1,0.3,95
japanese persimmon dried,0.5,25.0,0.2,93
orange peel,0.093,1.5,0.017,6
breadfruit,2.4,59.7,0.5,227
pear,0.6,27.1,0.2,101
white grapefruit,1.6,19.8,0.2,78
golden delicious apple,0.3,14.8,0.2,62
mango,2.8,50.3,1.3,202
persimmon,0.2,8.4,0.1,32
grapes,0.045,0.9,0.044,3
apricot juice,1.5,30.1,0.07,117
apple dried,0.6,39.1,0.2,145
peach dried,3.0,50.8,0.6,199
pear dried,0.7,25.1,0.2,94
mammy apple mamey,4.2,105.8,4.2,431
prickly pear,0.8,9.9,0.5,42
papaya,0.7,15.7,0.4,62
pasilla peppers dried,0.9,3.6,1.1,24
ancho pepper dried,2.0,8.7,1.4,48
butterbur,0.1,0.5,0.2,4
white pepper,0.2,1.6,0.0,7
black pepper,0.2,1.5,0.006,6
spearmint fresh,0.2,0.5,0.089,3
peppermint,0.038,0.2,0.004,1
cayenne pepper,0.039,0.2,0.094,1
spearmint dried,0.094,0.3,0.018,1
onion powder,0.2,1.9,0.024,8
french beans raw,34.6,118.0,3.7,631
pink beans raw,44.0,134.8,2.4,720
navy beans raw,46.4,126.4,3.1,701
black eyed cowpeas raw,4.3,27.3,0.5,131
pinto beans raw,41.3,120.7,2.4,670
black turtle beans raw,39.1,116.4,1.7,624
fava beans raw,39.2,87.4,2.3,512
hyacinth beans raw,50.2,127.6,3.5,722
white beans raw,47.2,121.7,1.7,673
mung beans raw,49.4,129.6,2.4,718
adzuki beans raw,39.1,123.9,1.0,648
pink lentils raw,47.9,113.6,4.2,662
yellow beans raw,43.1,119.0,5.1,676
lentils raw,49.5,115.4,2.0,678
chickpeas raw,38.6,121.3,12.1,728
mungo beans raw,52.2,122.1,3.4,706
pigeon peas raw,44.5,128.7,3.1,703
yellow snap beans raw,1.8,7.1,0.1,31
snap beans raw,1.8,7.0,0.2,31
catjang cowpeas raw,39.8,99.6,3.5,573
mothbeans raw,45.0,120.6,3.2,672
lima beans raw,38.2,112.8,1.2,602
winged beans raw,54.0,75.9,29.7,744
black beans raw,41.9,121.0,2.8,662
cowpeas raw,3.1,8.9,0.3,41
yardlong beans raw,40.6,103.4,2.2,579
cranberry beans raw,44.9,117.1,2.4,653
bacon beef steak,8.2,0.2,12.5,146
scrapple,2.3,4.0,3.9,60
chicken nuggets,3.2,3.0,4.1,61
chicken patty,8.9,7.7,11.7,172
mock tender steak raw,42.2,0.0,8.3,244
beef top sirloin steak raw,123.4,0.0,77.3,1222
porterhouse steak raw,81.6,0.0,91.1,1170
t bone steak raw,85.7,0.0,76.3,1052
sirloin steak,49.5,0.0,14.1,324
beef shoulder steak raw,48.2,0.0,17.3,349
beef round steak raw,100.1,0.0,36.0,753
chuck eye steak raw,72.4,0.0,62.8,856
beef under blade steak raw,126.8,0.0,80.8,1235
beef plate steak raw,47.8,0.9,46.8,617
corned beef raw,66.6,0.6,67.6,898
rib eye steak raw,62.8,0.4,54.5,743
beef tenderloin steak raw,32.2,0.0,29.8,405
beef flank steak raw,6.0,0.0,2.3,47
pepperoni beef,0.5,0.0,0.9,10
peppered loaf,4.9,1.3,1.8,42
chicken pork bologna,2.9,1.2,8.6,94
boston butt steak raw,79.0,0.0,56.1,844
pork leg cap steak raw,50.0,0.0,7.8,284
pork blade steak braised,68.2,0.087,44.7,694
ham steak,11.1,0.0,2.4,70
pork blade steak raw,67.6,0.6,43.7,664
chicken back raw,8.3,0.0,17.0,188
chicken leg raw,56.3,0.6,54.9,736
chicken meat raw,171.1,0.0,138.6,1978
chicken neck raw,7.0,0.0,13.1,149
chicken drumstick raw,23.4,0.1,12.4,211
chicken breast raw,36.3,0.0,16.1,299
chicken fajita strips,1.7,0.2,0.5,13
crispy chicken strips tyson,0.0,0.0,6.0,145
chocolate pudding fat free,2.2,23.6,0.3,105
tapioca pudding,2.1,23.9,4.3,143
tapioca pudding fat free,1.6,23.9,0.4,105
rice pudding,3.6,20.8,2.4,122
corn pudding,11.1,42.4,12.6,328
chocolate pudding,3.1,34.5,6.9,213
lemon pudding,4.1,30.2,4.4,173
vanilla pudding,2.2,33.9,5.7,195
vanilla yogurt low fat,12.1,33.8,3.1,208
classique yogurt plain 2 liberte,3.3,1.7,1.2,30
yoplait light strawberry yogurt yoplait,0.0,0.074,0.0,79
vanilla yogurt,8.4,23.5,2.1,145
chocolate yogurt,5.3,35.3,0.0,168
yogurt parfait,5.0,23.6,1.5,125
yogurt,5.2,7.0,4.9,92
chocolate frozen yogurt,5.2,37.6,6.3,221
frozen yogurt,5.2,37.6,6.3,221
yogurt low fat,12.9,17.2,3.8,154
fruit yogurt,6.0,28.0,1.7,149
triple zero greek yogurt dannon oikos,0.038,22.5,0.0,120
greek yogurt,17.3,6.1,0.7,100
chocolate rasberry protein mini proteinfx,0.0,0.0,2.9,102
peanut butter cookie protein syntha 6,0.0,5.0,6.0,200
smoothie high protein creamy chocolate slimfast,12.0,2.1,3.5,110
chocolate powder for milk,1.0,19.9,0.5,88
vegetable fruit juice,0.071,2.2,0.017,9
coconut milk,0.3,0.8,3.6,35
