food_name,protein,carbs,fat,calories
pulled pork in barbecue sauce,32.8,46.7,11.0,418
baked potato with cheese sauce,14.6,46.5,28.7,474
baked beans,11.1,43.3,10.3,310
arroz con frijoles,6.8,35.6,5.6,220
taco with beef cheese lettuce,6.1,13.7,8.8,156
burrito with beans cheese beef,7.3,19.8,6.6,165
egg mix,2.4,0.098,2.2,30
falafel,2.3,5.4,3.0,57
taco salad with chili con carne,11.6,17.7,8.8,193
wonton wrappers,3.1,18.5,0.5,93
hushpuppies,11.7,69.9,20.5,512
chicken pot pie,14.6,57.3,34.6,598
general tsos chicken,69.0,128.3,87.5,1578
burrito with beans cheese,13.6,57.8,11.2,379
vegetarian fillets,19.6,7.7,15.3,247
biscuit with egg sausage,18.0,34.1,33.6,505
chicken chow mein,40.8,50.1,16.9,513
fruit burrito,2.5,35.0,9.5,231
arroz con leche,8.1,63.0,9.3,369
caramel custard flan,13.9,69.7,12.3,444
gelatin dessert,3.3,38.3,0.0,167
chocolate milk dessert,5.9,51.6,1.4,229
chocolate mousse,6.2,24.1,24.0,338
dulce de leche,1.3,10.5,1.4,60
apple crisp,4.9,87.0,9.7,454
spinach spaghetti cooked,6.4,36.6,0.9,182
corn pasta cooked,3.7,39.1,1.0,176
spaghetti with meat sauce,14.3,43.1,2.9,255
pasta with meatballs in tomato sauce,10.6,28.3,13.0,273
cheese tortellini,14.6,50.8,7.8,332
pasta with sliced franks in tomato sauce,11.0,32.0,6.0,227
lasagna,9.0,18.9,6.1,166
macaroni cheese,12.6,43.7,9.4,310
vegetable lasagna,15.6,32.2,13.7,316
spinach egg noodles cooked,8.1,38.8,2.5,211
cheese lasagna,15.9,33.6,13.0,316
pasta with tomato sauce,5.6,35.1,1.8,176
spinach pasta cooked,1.4,7.1,0.3,37
vegetable chicken soup,12.3,21.1,4.8,166
bean ham soup,10.3,33.5,2.5,198
cream of chicken soup,6.0,18.0,14.5,227
tomato soup canned,6.3,22.6,3.3,139
egg drop soup,2.8,10.3,1.5,65
scotch broth,12.1,23.0,6.4,197
cream of onion soup,6.7,31.7,12.8,268
chicken broth dry,0.7,1.1,0.2,10
vegetable soup with beef broth,6.0,26.3,3.8,162
chili with beans canned,14.6,30.5,14.1,287
beef noodle soup,9.6,17.9,6.2,168
consomme dry,2.2,1.9,0.2,17
chicken mushroom soup,2.0,15.1,6.1,126
beef vegetable soup,8.0,15.4,2.9,120
black bean soup,12.4,39.6,3.4,234
split pea soup with ham bacon,11.6,28.6,3.1,189
cream of mushroom soup,3.4,17.1,13.4,199
green pea soup,16.7,51.7,5.7,320
chicken broth soup,11.1,1.9,2.6,78
chicken mushroom chowder soup,16.2,38.3,23.7,431
chicken dumplings soup,13.6,14.7,13.4,235
chicken vegetable soup,7.1,17.0,5.6,148
turkey vegetable soup,3.1,8.6,3.0,72
wonton soup,4.6,11.7,0.6,71
beef stock,4.7,2.9,0.2,31
mushroom barley soup,4.6,29.3,5.5,186
gazpacho soup,10.7,6.6,0.4,70
beef mushroom soup,14.0,15.9,7.3,186
chicken rice soup,12.3,13.0,3.2,127
pepperpot soup,6.2,9.1,4.5,100
vegetable soup,4.3,24.6,4.0,149
chili beef soup,13.4,49.6,6.7,308
chicken soup,12.4,16.9,6.5,174
bean with frankfurters soup,10.0,22.0,7.0,188
pea soup,8.3,25.6,2.8,161
turkey soup,10.2,14.1,4.4,135
stockpot soup,9.8,23.1,7.8,201
hot sour soup,6.0,10.1,2.8,91
cheese soup,2.0,28.0,9.7,203
cream of potato soup,3.8,32.2,4.7,186
bean with bacon soup,5.5,16.4,2.1,106
fish stock,5.3,0.0,1.9,40
split pea soup with ham,20.7,56.2,8.9,381
beef broth soup,2.7,0.01,0.5,17
lentil soup with ham,9.3,20.2,2.8,139
tomato soup,2.2,22.5,0.7,98
fish broth,4.9,1.0,1.5,39
chili without beans canned,18.1,14.6,17.0,283
minestrone soup,8.6,22.6,5.0,167
